shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
On Running Cloud 5 Kelp Green Shadow (W), On, 59.98557, 140, 229, 228, undefined, 637501711cb69837c65300d0, On Running Cloud 5, Kelp/Shadow, , 
On Running Cloudnova Navy White (W), On, 26.99114, 160, 233, undefined, undefined, 637501711cb69837c65300d1, On Running Cloudnova, Navy/White, , 
On Running Cloud 5 Glacier Grey Reseda Green, On, 59.98891, 140, 216, undefined, undefined, 637501711cb69837c65300d2, On Running Cloud 5, Glacier/Reseda, , 
On Running Cloudstratus White Black Sage, On, 39.99212, 170, 150, 140, undefined, 637501711cb69837c65300d3, On Running Cloudstratus, White/Black, , 
On Running Cloudflow 2.0 Black Asphalt, On, 25.99781, 140, undefined, undefined, undefined, 637501711cb69837c65300d4, On Running Cloudflow 2.0, Black/Asphalt, , 
On Running Cloudultra Glacier Grey Frost White, On, 44.99045, 180, 184, 274, undefined, 637501711cb69837c65300d5, On Running Cloudultra, Glacier/Frost, , 
On Running Cloud 5 Surf Cobble (W), On, 59.98895, 140, 158, undefined, undefined, 637501711cb69837c65300d6, On Running Cloud 5, Surf/Cobble, , 
On Running Cloudswift Black Rock White, On, 41.99585, 150, 170, undefined, undefined, 637501711cb69837c65300d7, On Running Cloudswift, Black/Rock, , 
On Running Cloud 5 Magnet Oasis Green, On, 59.98887, 140, 216, undefined, undefined, 637501711cb69837c65300d8, On Running Cloud 5, Magnet/Oasis, , 
On Running Cloudmonster Glacier Grey Meadow Green (W), On, 61.99022, 170, 169, undefined, undefined, 637501711cb69837c65300d9, On Running Cloudmonster, Glacier/Meadlow, , 
On Running Cloudnova Eclipse Meadow Green (W), On, 26.98984, 160, 233, undefined, undefined, 637501711cb69837c65300da, On Running Cloudnova, Eclipse/Meadow, , 
On Running Cloudswift Copper Frost (W), On, 41.99003, 150, 233, undefined, undefined, 637501711cb69837c65300db, On Running Cloudswift, Copper/Frost, , 
On Running Cloudnova White Cobalt Blue (W), On, 26.98983, 160, 225, 180, undefined, 637501711cb69837c65300dc, On Running Cloudnova, White/Cobalt, , 
On Running Cloudflow 3.0 Black Asphalt Grey, On, 35.99238, 140, 216, undefined, undefined, 637501711cb69837c65300dd, On Running Cloudflow 3.0, Black/Asphalt, , 
On Running Cloudswift All White, On, 41.98926, 150, 233, 300, undefined, 637501711cb69837c65300de, On Running Cloudswift, All White, , 
On Running Cloud 5 Ice White, On, 59.98775, 140, undefined, undefined, undefined, 637501711cb69837c65300df, On Running Cloud 5, Ice/White, , 
On Running Cloudultra Vine Meadow Green, On, 44.99044, 180, 316, 151, undefined, 637501711cb69837c65300e0, On Running Cloudultra, Vine/Meadow, , 
On Running Cloudflow 3.0 Niagara Blue Meadow Green (W), On, 35.99033, 140, 320, undefined, undefined, 637501711cb69837c65300e1, On Running Cloudflow 3.0, Niagara/Meadow, , 
