shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Hoka One One Gaviota 4 Black White (W), Hoka One One, 1123199-BWHT, 170, 258, undefined, undefined, 637501711cb69837c65301ea, Hoka One One Gaviota 4, Black/White, 2022-04-16, 
Hoka One One Mach 5 Black Castlerock Grey, Hoka One One, 1127893-BCSTL, 140, 89, 95, undefined, 637501711cb69837c65301eb, Hoka One One Mach 5, Black/Castlerock, , 
Hoka One One Carbon X 2 Fiesta, Hoka One One, 1113526-FWT, 180, 218, undefined, undefined, 637501711cb69837c65301ec, Hoka One One Carbon X 2, Fiesta/White, , 
Hoka One One Zinal Blazing Orange, Hoka One One, 1119399-BOPO, 160, 165, 150, undefined, 637501711cb69837c65301ed, Hoka One One Zinal, Blazing Orange/Persimmon Orange, , 
Hoka One One Tor Ultra Hi Opening Ceremony Bright White, Hoka One One, 1114610, 300, 800, 640, undefined, 637501711cb69837c65301ee, Hoka One One Tor Ultra Hi, Bright White/Bone, , 
Hoka One One Clifton 8 Goblin Blue Mountain Spring (Wide), Hoka One One, 1121374-GBMS, 140, 224, 116, undefined, 637501711cb69837c65301ef, Hoka One One Clifton 8, Goblin Blue/Mountain Spring, , 
Hoka One One Clifton Edge Black White, Hoka One One, 1110510-BWHT, 160, undefined, undefined, undefined, 637501711cb69837c65301f0, Hoka One One Clifton Edge, Black/White, 2020-07-01, 
Hoka One One Clifton Edge Black (All Gender), Hoka One One, 1126570-BBLC, 160, 203, undefined, undefined, 637501711cb69837c65301f1, Hoka One One Clifton Edge, Black/Black, 2020-07-01, 
Hoka One One Rocket X White Diva Blue (All Gender), Hoka One One, 1113532-WDVB, 180, undefined, 160, undefined, 637501711cb69837c65301f2, Hoka One One Rocket X, White/Diva Blue, , 
Hoka One One Clifton Edge Black White (W), Hoka One One, 1110511-BWHT, 160, undefined, undefined, undefined, 637501711cb69837c65301f3, Hoka One One Clifton Edge, Black/White, 2020-07-01, 
Hoka One One Kaha Gore-Tex Celadon Tint Basil, Hoka One One, 1123370-CTBS, 220, 250, 220, undefined, 637501711cb69837c65301f4, Hoka One One Kaha Gore-Tex, Celadon Tint/Basil, , 
Hoka One One Bondi 8 Puffin's Bill Orange Amber Yellow, Hoka One One, 1123202-PBAY, 165, undefined, undefined, undefined, 637501711cb69837c65301f5, Hoka One One Bondi 8, Puffin's Bill/Amber Yellow, , 
Hoka One One Clifton 8 Ibiza Blue Scuba, Hoka One One, 1119393-IBSB, 140, 102, 116, undefined, 637501711cb69837c65301f6, Hoka One One Clifton 8, Ibiza Blue/Scuba Blue, , 
Hoka One One Tor Ultra Low Engineered Garments Taupe, Hoka One One, 1102502-SITA-8, 200, 703, undefined, undefined, 637501711cb69837c65301f7, Hoka One One Tor Ultra Low, Taupe/Taupe, 2018-10-23, 
Hoka One One Clifton L Embroidery Outer Space (All Gender), Hoka One One, 1126854-OSBC, 170, 116, undefined, undefined, 637501711cb69837c65301f8, Hoka One One Clifton L, Outer Space/Blue Coral, , 
Hoka One One Rincon 3 Blazing Orange, Hoka One One, 1119395-BOFT, 125, 208, undefined, undefined, 637501711cb69837c65301f9, Hoka One One Rincon 3, Blazing Orange/Fiesta, , 
Hoka One One Bondi 8 Summer Song Blue Country Air (W), Hoka One One, 1127952-SSCA, 165, 104, undefined, undefined, 637501711cb69837c65301fa, Hoka One One Bondi 8, Summer Song/Country Air, , 
Hoka One One Clifton L White Green Ash (All Gender), Hoka One One, 1114770-WGAS, 150, 155, undefined, undefined, 637501711cb69837c65301fb, Hoka One One Clifton L, White/Green Ash, 2022-03-01, 
Hoka One One Speedgoat Mid Gore-Tex 2 Ombre Blue Yellow, Hoka One One, 1106532-OBBS, 170, 218, undefined, undefined, 637501711cb69837c65301fc, Hoka One One Speedgoat Mid Gore-Tex 2, Ombre Blue/Blue Sheen, 2020-02-01, 
Hoka One One Mafate Speed 3 Dazzling Blue, Hoka One One, 1113530-DBDS, 180, 179, undefined, undefined, 637501711cb69837c65301fd, Hoka One One Mafate Speed 3, Dazzling Blue/Desert Sun, 2021-01-01, 
Hoka One One Speedgoat 4 Gold Fusion, Hoka One One, 1106525-GFBI, 145, undefined, 182, undefined, 637501711cb69837c65301fe, Hoka One One Speedgoat 4, Gold Fusion/Black Iris, 2019-11-15, 
Hoka One One Carbon X 3 Billowing Sail, Hoka One One, 1123192-BSEP, 200, 227, undefined, undefined, 637501711cb69837c65301ff, Hoka One One Carbon X 3, Billowing Sail/Evening Primrose, 2022-03-01, 
Hoka One One Clifton 8 Anthracite Copper (W), Hoka One One, 1119394-ACPP, 140, 120, 130, undefined, 637501711cb69837c6530200, Hoka One One Clifton 8, Anthracite/Copper, , 
Hoka One One Ora Recovery Slide Team Kit, Hoka One One, 1099673-WVIN, 50, undefined, undefined, undefined, 637501711cb69837c6530201, Hoka One One Ora Recovery Slide, White/Vintage Indigo, 2020-08-18, 
Hoka One One Arahi 6 Black White (Wide), Hoka One One, 1123196-BWHT, 140, 224, 131, undefined, 637501711cb69837c6530202, Hoka One One Arahi 6, Black/White, , 
